,composer,composerLabel
0,http://data.carnegiehall.org/names/1006060,J. F. Cardoso
1,http://data.carnegiehall.org/names/1006061,Paulinho Nogueira
2,http://data.carnegiehall.org/names/1006062,Goffredo Petrassi
3,http://data.carnegiehall.org/names/1006063,Joon-Il Kang
4,http://data.carnegiehall.org/names/1006049,Lawrence Morton
5,http://data.carnegiehall.org/names/1006050,Ángel Rubio
6,http://data.carnegiehall.org/names/1006052,Emiel Hullebroeck
7,http://data.carnegiehall.org/names/1006053,Roger Jahnke
8,http://data.carnegiehall.org/names/1006054,Catharina van Rennes
9,http://data.carnegiehall.org/names/1006055,[first name unknown] Fisk
10,http://data.carnegiehall.org/names/1006042,John Sichel
11,http://data.carnegiehall.org/names/1006043,[first name unknown] Herreshoff
12,http://data.carnegiehall.org/names/1006044,Carl Michael Ziehrer
13,http://data.carnegiehall.org/names/1006045,Hugo Distler
14,http://data.carnegiehall.org/names/1006046,Anton y Michelena
15,http://data.carnegiehall.org/names/1006047,Bunita Marcus
16,http://data.carnegiehall.org/names/1006036,Charlie Davis
17,http://data.carnegiehall.org/names/1006037,László Lajtha
18,http://data.carnegiehall.org/names/1006038,Loyda Camacho
19,http://data.carnegiehall.org/names/1006039,Romualds Kalsons
20,http://data.carnegiehall.org/names/1006040,Arturo Márquez
21,http://data.carnegiehall.org/names/1006041,Issachar Meron
22,http://data.carnegiehall.org/names/1006026,Hans Krása
23,http://data.carnegiehall.org/names/1006028,Rudolf Escher
24,http://data.carnegiehall.org/names/1006029,Luis Cluzeau-Mortet
25,http://data.carnegiehall.org/names/1006030,Robert Brydges Addison
26,http://data.carnegiehall.org/names/1006033,"Henry VIII, King of England"
27,http://data.carnegiehall.org/names/1006034,Robert Fuchs
28,http://data.carnegiehall.org/names/1006018,Stanley M. Hoffman
29,http://data.carnegiehall.org/names/1006019,Otto Floersheim
30,http://data.carnegiehall.org/names/1006020,Alfonso E. Tenreiro
31,http://data.carnegiehall.org/names/1006021,Axel Jørgensen
32,http://data.carnegiehall.org/names/1006022,G. Reyne
33,http://data.carnegiehall.org/names/1006023,Vasily Ivanovich Agapkin
34,http://data.carnegiehall.org/names/1006008,Edward Morris
35,http://data.carnegiehall.org/names/1006009,Sydney Thomson
36,http://data.carnegiehall.org/names/1006010,Thomas Janson
37,http://data.carnegiehall.org/names/1006012,William Zucker
38,http://data.carnegiehall.org/names/1006016,Haroldo Lobo
39,http://data.carnegiehall.org/names/1006017,Joan B. Lambert
40,http://data.carnegiehall.org/names/1006002,Emanuel Adriaensen
41,http://data.carnegiehall.org/names/1006003,Primous Fountain
42,http://data.carnegiehall.org/names/1006004,Garrett Colyn
43,http://data.carnegiehall.org/names/1006005,Louis-Toussaint Milandre
44,http://data.carnegiehall.org/names/1006006,Antonio Nicolau
45,http://data.carnegiehall.org/names/1006007,[first name unknown] Mundy
46,http://data.carnegiehall.org/names/1005993,Abraham Moshe Bernstein
47,http://data.carnegiehall.org/names/1005997,Gabriel Ruiz
48,http://data.carnegiehall.org/names/1005998,Nickitas Demos
49,http://data.carnegiehall.org/names/1005999,Joyce Shatz Pease
50,http://data.carnegiehall.org/names/1006000,Al Sherman
51,http://data.carnegiehall.org/names/1006001,Hermann Assmann
52,http://data.carnegiehall.org/names/1005987,Augusta E. Stetson
53,http://data.carnegiehall.org/names/1005988,Alban Foerster
54,http://data.carnegiehall.org/names/1005989,Willis Charkovsky
55,http://data.carnegiehall.org/names/1005990,Johann Mattheson
56,http://data.carnegiehall.org/names/1005991,Paul von Klenau
57,http://data.carnegiehall.org/names/1005992,Ingram Fox
58,http://data.carnegiehall.org/names/1005980,Yoon-Il Auh
59,http://data.carnegiehall.org/names/1005981,Yuri Levitin
60,http://data.carnegiehall.org/names/1005982,Oscar J. Fox
61,http://data.carnegiehall.org/names/1005983,William Henry Hadow
62,http://data.carnegiehall.org/names/1005984,Ludvig Schytte
63,http://data.carnegiehall.org/names/1005986,H. Wakefield Smith
64,http://data.carnegiehall.org/names/1005973,Isidore De Lara
65,http://data.carnegiehall.org/names/1005974,Abe Holzmann
66,http://data.carnegiehall.org/names/1005976,Sparre Olsen
67,http://data.carnegiehall.org/names/1005977,Jeffrey Sharkey
68,http://data.carnegiehall.org/names/1005978,Mieczyslaw Karlowicz
69,http://data.carnegiehall.org/names/1005979,Carl Anton Wirth
70,http://data.carnegiehall.org/names/1005967,Bruce Broughton
71,http://data.carnegiehall.org/names/1005968,Camil Van Hulse
72,http://data.carnegiehall.org/names/1005969,Francisco Fuster
73,http://data.carnegiehall.org/names/1005970,Peter Schat
74,http://data.carnegiehall.org/names/1005971,Zu-Long Lu
75,http://data.carnegiehall.org/names/1005972,[first name unknown] Fischer
76,http://data.carnegiehall.org/names/1005958,Come Raggio Di Sol
77,http://data.carnegiehall.org/names/1005959,Hugo Kaun
78,http://data.carnegiehall.org/names/1005960,Anna Nikolayevna Esipova
79,http://data.carnegiehall.org/names/1005961,Antonio Estévez
80,http://data.carnegiehall.org/names/1005962,Hermann Loehr
81,http://data.carnegiehall.org/names/1005966,Danny Elfman
82,http://data.carnegiehall.org/names/1005948,Loris Margaritis
83,http://data.carnegiehall.org/names/1005949,Oleksandr Ivanovych Bilash
84,http://data.carnegiehall.org/names/1005952,Maurice Wright
85,http://data.carnegiehall.org/names/1005953,Luis Rivera
86,http://data.carnegiehall.org/names/1005954,Alexander Savine
87,http://data.carnegiehall.org/names/1005955,Annabel Buchanan
88,http://data.carnegiehall.org/names/1005938,[first name unknown] Bohm
89,http://data.carnegiehall.org/names/1005940,Salvador Ruiz de Luna
90,http://data.carnegiehall.org/names/1005941,Masahiro Yamauchi
91,http://data.carnegiehall.org/names/1005942,Robert Kelley
92,http://data.carnegiehall.org/names/1005944,Jon Appleton
93,http://data.carnegiehall.org/names/1005928,Henry Jacobsen
94,http://data.carnegiehall.org/names/1005929,Dimitar Nenov
95,http://data.carnegiehall.org/names/1005931,Anton Emil Titl
