"composer","composerLabel"
"http://data.carnegiehall.org/names/5000","Richard Heuberger"
"http://data.carnegiehall.org/names/35995","Derek Bermel"
"http://data.carnegiehall.org/names/38927","John Sebastian"
"http://data.carnegiehall.org/names/2514","Francis E. Resta"
"http://data.carnegiehall.org/names/54976","John Klemmer"
"http://data.carnegiehall.org/names/7324","Arthur Berger"
"http://data.carnegiehall.org/names/59543","Chico Freeman"
"http://data.carnegiehall.org/names/32472","J.W. Lillard"
"http://data.carnegiehall.org/names/54988","Max Pollikoff"
"http://data.carnegiehall.org/names/8383","Richard Galliano"
"http://data.carnegiehall.org/names/125623","Iman Habibi"
"http://data.carnegiehall.org/names/8775","Tommy Newsom"
"http://data.carnegiehall.org/names/38566","Francesco Magliocco"
"http://data.carnegiehall.org/names/3713","Hugo Macher"
"http://data.carnegiehall.org/names/64154","Bobby Capó"
"http://data.carnegiehall.org/names/58610","Arvid Samuelson"
"http://data.carnegiehall.org/names/129254","Masha Brodskaya"
"http://data.carnegiehall.org/names/28402","William Ebann"
"http://data.carnegiehall.org/names/113490","Jack Noble White"
"http://data.carnegiehall.org/names/17897","Cecil McBee"
"http://data.carnegiehall.org/names/10123","Sheila Jordan"
"http://data.carnegiehall.org/names/128505","Mordecai Sandberg"
"http://data.carnegiehall.org/names/62823","Joshua Cody"
"http://data.carnegiehall.org/names/51879","Buddy Montgomery"
"http://data.carnegiehall.org/names/40350","Andy LaVerne"
"http://data.carnegiehall.org/names/19694","James P. Dunn"
"http://data.carnegiehall.org/names/63470","Walter Parazaider"
"http://data.carnegiehall.org/names/29782","Martin Boykan"
"http://data.carnegiehall.org/names/4144","Bill Monroe"
"http://data.carnegiehall.org/names/80446","Carine Gutlerner"
"http://data.carnegiehall.org/names/40405","Evelyn Glennie"
"http://data.carnegiehall.org/names/2661","Mongo Santamaría"
"http://data.carnegiehall.org/names/38869","Jaki Byard"
"http://data.carnegiehall.org/names/37880","Gilopez Kabayao"
"http://data.carnegiehall.org/names/57852","Fred Hersch"
"http://data.carnegiehall.org/names/78749","Mavis Pan"
"http://data.carnegiehall.org/names/25069","Earl Howard"
"http://data.carnegiehall.org/names/101947","Phresh Makhene"
"http://data.carnegiehall.org/names/67858","Ruben Yessayan"
"http://data.carnegiehall.org/names/80072","Teresa LeVelle"
"http://data.carnegiehall.org/names/47971","William Walton"
"http://data.carnegiehall.org/names/17966","Caro Roma"
"http://data.carnegiehall.org/names/72749","Carla Ann Harris"
"http://data.carnegiehall.org/names/83824","Shiro Otake"
"http://data.carnegiehall.org/names/117220","Jay Bocook"
"http://data.carnegiehall.org/names/42152","Miguel Kertsman"
"http://data.carnegiehall.org/names/24471","Arturo Buzzi-Peccia"
"http://data.carnegiehall.org/names/19977","Stuart Duncan"
"http://data.carnegiehall.org/names/12294","Váša Príhoda"
"http://data.carnegiehall.org/names/26354","Kenny Loggins"
"http://data.carnegiehall.org/names/44751","Donghee Oh"
"http://data.carnegiehall.org/names/132522","Angélica Negrón"
