"event","date","title","genre","genreLabel","workperformed","work","composer","composerName","skos"
"http://data.carnegiehall.org/events/7110","1954-01-15T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/27374","Piano Concerto No. 9 in E-flat Major, K. 271, ""Jeunehomme""","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/7110","1954-01-15T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/37887","Symphony No. 41 in C Major, K. 551, ""Jupiter""","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/7110","1954-01-15T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/22437","Symphony No. 38 in D Major, K. 504, ""Prague""","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/7111","1954-01-08T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/359","Violin Concerto in D Major, Op. 61","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/7111","1954-01-08T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/45296","Symphony No. 5 in C Minor, Op. 67","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/7111","1954-01-08T14:30:00","New York Philharmonic",,,"http://data.carnegiehall.org/works/38810","Egmont, Op. 84: Overture","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/7112","1929-10-15T20:30:00","Alexander Siloti, Piano, with Members of the New York Philharmonic",,,"http://data.carnegiehall.org/works/17260","Piano Concerto No. 1 in B-flat Minor, Op. 23","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/7112","1929-10-15T20:30:00","Alexander Siloti, Piano, with Members of the New York Philharmonic",,,"http://data.carnegiehall.org/works/2926","Totentanz, S. 126","http://data.carnegiehall.org/names/1001205","Franz Liszt","http://www.wikidata.org/entity/Q41309"
"http://data.carnegiehall.org/events/7112","1929-10-15T20:30:00","Alexander Siloti, Piano, with Members of the New York Philharmonic",,,"http://data.carnegiehall.org/works/56203","Piano Concerto No. 5 in E-flat Major, Op. 73, ""Emperor""","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/11959","Scherzo-Tarantelle in G Minor, Op. 16","http://data.carnegiehall.org/names/1002506","Henryk Wieniawski","http://www.wikidata.org/entity/Q272184"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/6435","Suite populaire espagnole: 4. Jota","http://data.carnegiehall.org/names/1006691","Manuel de Falla","http://www.wikidata.org/entity/Q193283"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/49160","Goyescas, Book I: Quejas, o La maja y el ruiseñor","http://data.carnegiehall.org/names/1008846","Enrique Granados","http://www.wikidata.org/entity/Q294225"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/38743","Sonata for Violin and Continuo in A Major","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/55601","Alabama","http://data.carnegiehall.org/names/32756","Albert Spalding","http://www.wikidata.org/entity/Q2638863"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/34631","Violin Sonata No. 3 in D Minor, Op. 108","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/7113","1931-11-01T15:00:00","Albert Spalding, Violin",,,"http://data.carnegiehall.org/works/56615","Partita No. 1 for Solo Violin in B Minor, BWV 1002","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/47181","Sonata for Harp","http://data.carnegiehall.org/names/28928","Paul Hindemith","http://www.wikidata.org/entity/Q57244"
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/73812","Contemplation","http://data.carnegiehall.org/names/1000588","Henriette Renié","http://www.wikidata.org/entity/Q2383857"
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/91532","Sonata for Harp","http://data.carnegiehall.org/names/1001411","Antonio Rosetti",
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/91534","Selection for harp (unspecified)","http://data.carnegiehall.org/names/1008397","Georges Migot",
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/21114","Sarabanda e Toccata","http://data.carnegiehall.org/names/1000135","Nino Rota","http://www.wikidata.org/entity/Q214665"
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/48808","Danse des lutins","http://data.carnegiehall.org/names/1000588","Henriette Renié","http://www.wikidata.org/entity/Q2383857"
"http://data.carnegiehall.org/events/7114","1958-12-11T20:30:00","Susann McDonald, Harp",,,"http://data.carnegiehall.org/works/91533","Sonata for Harp","http://data.carnegiehall.org/names/1000886","Jean-Baptiste Krumpholtz",
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/944","Jeux d'eau","http://data.carnegiehall.org/names/719","Maurice Ravel","http://www.wikidata.org/entity/Q1178"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/45668","Chromatic Fantasia and Fugue in D Minor, BWV 903","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/21218","Prelude And Fugue No. 3","http://data.carnegiehall.org/names/1009065","Rodion Shchedrin","http://www.wikidata.org/entity/Q165706"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/32086","Lieder ohne Worte, Op. 67: 5. Moderato","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/4916","Hungarian Rhapsody No. 12 in C-sharp Minor, S. 244, No. 12 (R. 106)","http://data.carnegiehall.org/names/1001205","Franz Liszt","http://www.wikidata.org/entity/Q41309"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/27535","Piano Sonata in E-flat Major, H.XVI:52","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/7115","2001-10-06T17:30:00","Chee-eun Kim, Piano",,,"http://data.carnegiehall.org/works/32421","Lieder ohne Worte, Op. 67: 4. Presto, ""Spinnerlied""","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
