"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/9948","Half and Half","http://data.carnegiehall.org/names/59350","Lennie Niehaus"
"http://data.carnegiehall.org/works/36823","Trio for Flute, Violin, and Piano","http://data.carnegiehall.org/names/1010683","Joseph Goodman"
"http://data.carnegiehall.org/works/65465","Mists","http://data.carnegiehall.org/names/1008305","Charles Ives"
"http://data.carnegiehall.org/works/82659","Sonata in E-flat Major, Op. 120, No. 2: 2. Allegro appassionato","http://data.carnegiehall.org/names/1004316","Johannes Brahms"
"http://data.carnegiehall.org/works/81917","Senza fine","http://data.carnegiehall.org/names/1015732","Gino Paoli"
"http://data.carnegiehall.org/works/102551","Spring Song","http://data.carnegiehall.org/names/1006961","Valerian Dovzhenko"
"http://data.carnegiehall.org/works/115893","5 Canciones tradicionales espanolas: 1. Tres morillas me enamoran en Jaén","http://data.carnegiehall.org/names/22151","Joaquín Nin-Culmell"
"http://data.carnegiehall.org/works/26283","Piano Concerto in G Major, Op. 36","http://data.carnegiehall.org/names/1000244","Albert Roussel"
"http://data.carnegiehall.org/works/71950","5 Romances on Texts from Krokodil Magazine, Op. 121: 4. Irinka and the Shepherd","http://data.carnegiehall.org/names/1002763","Dmitry Shostakovich"
"http://data.carnegiehall.org/works/77927","Show Boat: Fish got to swim","http://data.carnegiehall.org/names/1007977","Jerome Kern"
"http://data.carnegiehall.org/works/82634","Timon of Athens, Z. 632: But ah! How much are our delights","http://data.carnegiehall.org/names/1004958","Henry Purcell"
"http://data.carnegiehall.org/works/86623","Praise the Lord for Great is His Steadfast Love Towards Us (Chant of the Simonopetra Monastery)","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/99982","Fiançailles pour rire: 4. Mon cadavre est doux comme un gant","http://data.carnegiehall.org/names/37816","Francis Poulenc"
"http://data.carnegiehall.org/works/3689","Sonata for Cello and Piano","http://data.carnegiehall.org/names/13247","Avraham Sternklar"
"http://data.carnegiehall.org/works/11239","Waltzes, Op. 39","http://data.carnegiehall.org/names/1004316","Johannes Brahms"
"http://data.carnegiehall.org/works/15961","Forty-four Duos, BB 104: Unknown selection","http://data.carnegiehall.org/names/39524","Béla Bartók"
"http://data.carnegiehall.org/works/53018","Dejadme llorar","http://data.carnegiehall.org/names/1005381","Ernesto Cordero"
