"work","title"
"http://data.carnegiehall.org/works/74320","Popular Airs"
"http://data.carnegiehall.org/works/73938","Everywhere"
"http://data.carnegiehall.org/works/84703","Beautiful Night"
"http://data.carnegiehall.org/works/90702","Natalie's Waltz"
"http://data.carnegiehall.org/works/91926","La Calisto: Act I. Ninfa bella"
"http://data.carnegiehall.org/works/92884","A Li Li, Hua Hua Sai"
"http://data.carnegiehall.org/works/95030","Shir Eres (Lullaby)"
"http://data.carnegiehall.org/works/96027","Bif'at HaKfar"
"http://data.carnegiehall.org/works/97684","Gayane: Sabre Dance"
"http://data.carnegiehall.org/works/14945","Mr. Right Now"
"http://data.carnegiehall.org/works/23804","Turandot Suite, Op. 41: Nocturnal Waltz"
"http://data.carnegiehall.org/works/57445","By the Pool at the Third Roses"
"http://data.carnegiehall.org/works/69466","The Creation"
"http://data.carnegiehall.org/works/96711","Of the Burgundy Dream-Oil and the Secrets Unspoken By The Supermoon Night-Tide"
"http://data.carnegiehall.org/works/105054","Czernowitzer Skizzen: No. 5"
"http://data.carnegiehall.org/works/109433","You Better Go Now"
"http://data.carnegiehall.org/works/40605","Improvisation No. 3"
"http://data.carnegiehall.org/works/60455","Hiyoku"
"http://data.carnegiehall.org/works/93895","Piece for Woodwind Trio"
"http://data.carnegiehall.org/works/29184","In Plague Time"
"http://data.carnegiehall.org/works/72549","Lullaby"
"http://data.carnegiehall.org/works/78881","Jelek (""Signs""), Op. 5"
"http://data.carnegiehall.org/works/88658","L’école moderne: Etude in A-flat Major, Op. 10, No. 7 (La cadenza: Largo)"
"http://data.carnegiehall.org/works/90013","The Lark in the Clear Air (Irish)"
"http://data.carnegiehall.org/works/67374","Bugs!, Op. 93"
"http://data.carnegiehall.org/works/92847","Turmwächterlied und andere Gesänge, Op. 8: 3. Mit Trommeln und Pfeifen"
"http://data.carnegiehall.org/works/101684","Candide: Suite: 2. Westphalia Chorale and Battle Scene"
"http://data.carnegiehall.org/works/109850","Brown Eyed Girl"
"http://data.carnegiehall.org/works/34483","Escenas románticas"
"http://data.carnegiehall.org/works/42140","Sorochintsï Fair: Aria (unspecified)"
