"event","date","title","workperformed","genre","genreLabel","composer","composerName","skos"
"http://data.carnegiehall.org/events/16858","1968-04-14T20:30:00","Alice Coltrane: Cosmic Music","http://data.carnegiehall.org/works/72998","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/8886","Jimmy Garrison","http://www.wikidata.org/entity/Q727702"
"http://data.carnegiehall.org/events/17623","1970-05-02T20:30:00","B.B. King and His Friends","http://data.carnegiehall.org/works/112379","http://data.carnegiehall.org/genres/138","blues","http://data.carnegiehall.org/names/64403","Big Joe Turner","http://www.wikidata.org/entity/Q358350"
"http://data.carnegiehall.org/events/12510","1972-07-03T17:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104678","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/44823","1972-07-03T21:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104676","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/12510","1972-07-03T17:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104676","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/12510","1972-07-03T17:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104674","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/44823","1972-07-03T21:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104674","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/44823","1972-07-03T21:00:00","Newport Jazz Festival: Chase, the Bill Evans Trio, and the Elvin Jones Quintet","http://data.carnegiehall.org/works/104678","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/19811","Bill Evans","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/events/20780","1953-05-10T20:00:00","Folklore Music of Puerto Rico","http://data.carnegiehall.org/works/54128","http://data.carnegiehall.org/genres/453","Latin jazz","http://data.carnegiehall.org/names/64154","Bobby Capó","http://www.wikidata.org/entity/Q2744274"
"http://data.carnegiehall.org/events/20780","1953-05-10T20:00:00","Folklore Music of Puerto Rico","http://data.carnegiehall.org/works/54128","http://data.carnegiehall.org/genres/450","mambo music","http://data.carnegiehall.org/names/64154","Bobby Capó","http://www.wikidata.org/entity/Q2744274"
"http://data.carnegiehall.org/events/20780","1953-05-10T20:00:00","Folklore Music of Puerto Rico","http://data.carnegiehall.org/works/54128","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/64154","Bobby Capó","http://www.wikidata.org/entity/Q2744274"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109634","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109642","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109644","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109640","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109641","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109638","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109635","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/9631","1971-05-15T20:30:00","The James Gang","http://data.carnegiehall.org/works/109649","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/66132","Joe Walsh","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/events/1006","1961-09-16T20:30:00","Hootenanny at Carnegie Hall","http://data.carnegiehall.org/works/65514","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/2436","1964-03-01T14:45:00","Ray Gordon, Classical Guitarist and Folk Singer","http://data.carnegiehall.org/works/27960","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/37494","1969-12-06T20:30:00","Steppenwolf, with Rare Earth","http://data.carnegiehall.org/works/109510","http://data.carnegiehall.org/genres/39","rock music","http://data.carnegiehall.org/names/124581","John Kay","http://www.wikidata.org/entity/Q63204"
