"event","date","title","workperformed","genre","genreLabel","composer","composerName","skos"
"http://data.carnegiehall.org/events/8937","1946-06-13T20:30:00","Carnegie Pop Concert","http://data.carnegiehall.org/works/11609","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/names/2089","Arthur Kreutz","http://www.wikidata.org/entity/Q4799392"
"http://data.carnegiehall.org/events/19206","1927-12-03T20:30:00","The Marmeins","http://data.carnegiehall.org/works/54712","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/1497","Lamar Stringfield","http://www.wikidata.org/entity/Q2548443"
"http://data.carnegiehall.org/events/15785","1949-03-07T20:30:00","New York: A Musical Tapestry","http://data.carnegiehall.org/works/65514","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/15785","1949-03-07T20:30:00","New York: A Musical Tapestry","http://data.carnegiehall.org/works/65515","http://data.carnegiehall.org/genres/40","folk music","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/15785","1949-03-07T20:30:00","New York: A Musical Tapestry","http://data.carnegiehall.org/works/65514","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/15785","1949-03-07T20:30:00","New York: A Musical Tapestry","http://data.carnegiehall.org/works/65515","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/34246","Lee Hays","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/events/28196","1926-12-08T20:30:00","Will Rogers","http://data.carnegiehall.org/works/24917","http://data.carnegiehall.org/genres/9","comedy","http://data.carnegiehall.org/names/59803","Clarence Dickinson","http://www.wikidata.org/entity/Q1095392"
"http://data.carnegiehall.org/events/33697","1912-05-02T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/59004","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/17114","1919-12-12T20:15:00","Clef Club Memorial Fund Concert in honor of James Reese Europe","http://data.carnegiehall.org/works/38128","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/25049","1922-01-23T20:30:00","The Clef Club","http://data.carnegiehall.org/works/59004","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/33697","1912-05-02T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/38128","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/19249","1913-02-12T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/38128","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/33697","1912-05-02T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/46042","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/33697","1912-05-02T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/22449","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/25049","1922-01-23T20:30:00","The Clef Club","http://data.carnegiehall.org/works/38128","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/19249","1913-02-12T20:15:00","Clef Club Orchestra: Concert of Negro Music","http://data.carnegiehall.org/works/14387","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/42307","James Reese Europe","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/events/4196","1945-10-13T20:30:00","Victor Borge and his Concert Orchestra","http://data.carnegiehall.org/works/88684","http://data.carnegiehall.org/genres/9","comedy","http://data.carnegiehall.org/names/57747","Victor Borge","http://www.wikidata.org/entity/Q251417"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/55851","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/34848","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/44232","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/5983","1941-04-23T20:30:00","Café Society Concert","http://data.carnegiehall.org/works/44061","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/14703","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/17449","1950-12-22T20:30:00","John Kirby and His Band","http://data.carnegiehall.org/works/20888","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/32820","1943-04-11T20:30:00","Café Society Concert","http://data.carnegiehall.org/works/14703","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/16073","Charlie Shavers","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/events/44600","1905-02-24T15:00:00","Jeannette Mannheimer, Reciter","http://data.carnegiehall.org/works/109880","http://data.carnegiehall.org/genres/6","theater","http://data.carnegiehall.org/names/22809","Israel Zangwill","http://www.wikidata.org/entity/Q113681"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/14059","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/events/19028","1945-05-04T20:30:00","James P. Johnson with Orchestra and Chorus","http://data.carnegiehall.org/works/18714","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/26106","James P. Johnson","http://www.wikidata.org/entity/Q550541"
