"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/17489","1939-01-25T20:45:00","Brico Symphony Orchestra","http://data.carnegiehall.org/works/42908","http://data.carnegiehall.org/names/5224","Zygmunt Stojowski","http://www.wikidata.org/entity/Q1362743"
"http://data.carnegiehall.org/events/24113","1939-03-04T14:30:00","National Orchestral Association","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/5069","1938-12-30T20:30:00","Ruth Hilde Somer with Orchestra","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/21977","1938-02-04T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/13195","1938-02-03T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/20580","1939-04-30T15:20:00","New York Philharmonic","http://data.carnegiehall.org/works/6902","http://data.carnegiehall.org/names/1010675","Felix Mendelssohn","http://www.wikidata.org/entity/Q46096"
"http://data.carnegiehall.org/events/31996","1938-01-01T20:45:00","New York Philharmonic Popular (Students') Concert","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/32240","1935-01-13T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/1122","1938-04-27T20:45:00","Benefit Concert for Austrian Refugees","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/34832","1937-12-31T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/15155","1939-05-05T20:30:00","Golden Hill Chorus","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/29525","1937-10-26T20:30:00","Vienna Choir Boys and Joseph Schmidt","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/19910","1938-05-08T15:00:00","Inter-Scholastic German Glee Club of New York","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
"http://data.carnegiehall.org/events/16081","1937-12-30T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/51078","http://data.carnegiehall.org/names/1008267","Johann Strauss Jr.","http://www.wikidata.org/entity/Q83309"
