"event","date","title"
"http://data.carnegiehall.org/events/48875","2010-11-12T20:00:00","New York Philharmonic"
"http://data.carnegiehall.org/events/48876","2010-11-13T20:00:00","Baltimore Symphony Orchestra"
"http://data.carnegiehall.org/events/48877","2010-11-14T16:00:00","Too Hot to Handel: The Gospel Messiah"
"http://data.carnegiehall.org/events/48878","2010-11-12T20:30:00","Ghazal Ensemble"
"http://data.carnegiehall.org/events/48879","2010-11-13T22:00:00","The Books"
"http://data.carnegiehall.org/events/48880","2010-11-12T19:30:00","Nicholas Phan, Tenor, and Myra Huang, Piano"
"http://data.carnegiehall.org/events/48881","2010-11-13T13:30:00","American Fine Arts Festival International Chopin Celebration Concert"
"http://data.carnegiehall.org/events/48882","2010-11-13T20:30:00","Amael Piano Trio"
"http://data.carnegiehall.org/events/48883","2010-11-14T14:00:00","Amigos de la Zarzuela 25th Anniversary Gala Concert"
"http://data.carnegiehall.org/events/48884","2010-11-14T19:00:00","Dolcissimo Operatic Group"
"http://data.carnegiehall.org/events/48885","2010-11-15T20:00:00","Jack Gibbons Plays Chopin"
"http://data.carnegiehall.org/events/48886","2010-11-16T19:30:00","Calmus Vocal Ensemble"
"http://data.carnegiehall.org/events/48887","2010-11-16T19:30:00","David Fray, Piano"
"http://data.carnegiehall.org/events/48888","2010-11-17T20:00:00","Bryn Terfel, Bass-Baritone, and Malcolm Martineau, Piano"
"http://data.carnegiehall.org/events/48889","2010-11-17T20:00:00","José Salazar, Guitar"
"http://data.carnegiehall.org/events/48890","2010-11-18T20:00:00","Stephen Hough, Piano"
"http://data.carnegiehall.org/events/48891","2010-11-18T19:30:00","Sandro Russo, Piano"
"http://data.carnegiehall.org/events/48893","2010-11-19T20:00:00","The New York Pops: Stephen Sondheim 80th Birthday Celebration"
"http://data.carnegiehall.org/events/48894","2010-11-20T20:00:00","Pinchas Zukerman, Violin and Viola, and Yefim Bronfman, Piano"
"http://data.carnegiehall.org/events/48895","2010-11-19T19:30:00","Miami String Quartet"
"http://data.carnegiehall.org/events/48896","2010-11-20T17:30:00","Masako Takahashi, Soprano"
"http://data.carnegiehall.org/events/48897","2010-11-20T20:30:00","Suk Soon Kim, Soprano"
"http://data.carnegiehall.org/events/48898","2010-11-21T13:30:00","Alexander and Buono International String Competition Winners' Recital"
"http://data.carnegiehall.org/events/48899","2010-11-21T19:00:00","Robelyn Schrade, Piano"
"http://data.carnegiehall.org/events/48900","2010-11-22T19:00:00","Carla Ann Harris, Singer, and The Mark Howell Singers"
"http://data.carnegiehall.org/events/48901","2010-11-22T20:00:00","Lukáš Vondrácek, Piano"
"http://data.carnegiehall.org/events/48902","2010-11-23T20:00:00","Joanna Newsom, Singer-Songwriter"
"http://data.carnegiehall.org/events/48903","2010-11-27T20:00:00","Arlo Guthrie, Folk Singer"
"http://data.carnegiehall.org/events/48904","2010-11-24T20:00:00","Brazilian Classics: From Villa-Lobos to Tom Jobim"
"http://data.carnegiehall.org/events/48905","2010-11-15T10:15:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48906","2010-11-28T14:00:00","Ensemble Spotlight Series: Green Valley High School Symphonic Band and Orchestra and University of the Incarnate Word Cardinal Chorale"
"http://data.carnegiehall.org/events/48907","2010-11-27T13:30:00","Students of Claudette Peterson"
"http://data.carnegiehall.org/events/48909","2010-11-28T19:30:00","Michael Peer: Opera Night Gala Concert"
"http://data.carnegiehall.org/events/48910","2010-11-29T19:00:00","Music for Medicine 14th Annual Benefit Concert"
"http://data.carnegiehall.org/events/48911","2010-11-30T20:00:00","Hyo Jung Kim, Violin, and Yeo Jung Kim, Cello"
"http://data.carnegiehall.org/events/48912","2010-11-15T11:45:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48913","2010-11-17T10:15:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48914","2010-11-18T10:15:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48915","2010-11-19T10:15:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48916","2010-11-17T11:45:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48917","2010-11-18T11:45:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48918","2010-11-19T11:45:00","Musical Explorers: My City, My Song"
"http://data.carnegiehall.org/events/48919","2010-12-01T19:30:00","Risør Chamber Music Festival"
"http://data.carnegiehall.org/events/48920","2010-12-01T19:00:00","Seunghee Lee, Piano"
"http://data.carnegiehall.org/events/48921","2010-12-02T20:00:00","Tim Janis: The American Christmas Carol"
"http://data.carnegiehall.org/events/48922","2010-12-02T19:30:00","Risør Chamber Music Festival"
"http://data.carnegiehall.org/events/48923","2010-12-02T20:00:00","Victoria Mushkatkol, Piano"
"http://data.carnegiehall.org/events/48924","2010-12-03T20:00:00","Risør Chamber Music Festival"
"http://data.carnegiehall.org/events/48925","2010-12-04T20:00:00","Orpheus Chamber Orchestra"
"http://data.carnegiehall.org/events/48926","2010-12-05T14:00:00","New York Youth Symphony"
"http://data.carnegiehall.org/events/48927","2010-12-03T19:30:00","American Composers Orchestra"
"http://data.carnegiehall.org/events/48928","2010-12-04T19:30:00","Risør Chamber Music Festival"
"http://data.carnegiehall.org/events/48929","2010-12-05T19:30:00","Hyung Joo Lim, Tenor"
"http://data.carnegiehall.org/events/48930","2010-12-03T20:00:00","Simons' Pond Ensemble"
"http://data.carnegiehall.org/events/48931","2010-12-04T13:00:00","Russian Music Festival Winners Concert"
"http://data.carnegiehall.org/events/48932","2010-12-04T20:30:00","AGBU Performing Artists in Concert"
"http://data.carnegiehall.org/events/48933","2010-12-05T14:00:00","Alaria Chamber Ensemble"
"http://data.carnegiehall.org/events/48934","2010-12-05T19:00:00","Denis Bouriakov, Flute"
"http://data.carnegiehall.org/events/48935","2010-12-06T20:00:00","Rufus Wainwright, Singer-Songwriter"
"http://data.carnegiehall.org/events/48936","2010-12-06T19:30:00","Mannes College Festival Concert: Schumann and Chopin: 2010"
