"event","date","title","workperformed","composer","composerName","birthPlace","skos"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109666","http://data.carnegiehall.org/names/10103","Carl Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q504920"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109666","http://data.carnegiehall.org/names/10103","Carl Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q504920"
"http://data.carnegiehall.org/events/18896","1971-09-14T20:00:00","Savoy Brown, Blues Rock Band","http://data.carnegiehall.org/works/109658","http://data.carnegiehall.org/names/25403","Chuck Berry","http://sws.geonames.org/4407066/","http://www.wikidata.org/entity/Q5921"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/16482","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/16482","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/61221","http://data.carnegiehall.org/names/1011378","Walter Marks","http://sws.geonames.org/5128581/","http://www.wikidata.org/entity/Q7965546"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/86332","http://data.carnegiehall.org/names/1010986","Lucio Dalla","http://sws.geonames.org/3181928/","http://www.wikidata.org/entity/Q167546"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/7149","http://data.carnegiehall.org/names/1008568","Francis Lai","http://sws.geonames.org/2990440/","http://www.wikidata.org/entity/Q223408"
"http://data.carnegiehall.org/events/65471","1971-09-23T20:00:00","Don Butterfield, Tuba","http://data.carnegiehall.org/works/109866","http://data.carnegiehall.org/names/42538","Don Butterfield","http://sws.geonames.org/4235587/","http://www.wikidata.org/entity/Q1238989"
"http://data.carnegiehall.org/events/18896","1971-09-14T20:00:00","Savoy Brown, Blues Rock Band","http://data.carnegiehall.org/works/109654","http://data.carnegiehall.org/names/16122","Willie Dixon","http://sws.geonames.org/4449620/","http://www.wikidata.org/entity/Q204092"
"http://data.carnegiehall.org/events/29144","1971-09-26T19:30:00","Gino Caruso, Singer","http://data.carnegiehall.org/works/65530","http://data.carnegiehall.org/names/1009693","Renato Rascel","http://sws.geonames.org/3165524/","http://www.wikidata.org/entity/Q697383"
"http://data.carnegiehall.org/events/5777","1971-09-30T20:00:00","Crosby & Nash","http://data.carnegiehall.org/works/65396","http://data.carnegiehall.org/names/30315","David Crosby","https://sws.geonames.org/5368361/","http://www.wikidata.org/entity/Q370560"
"http://data.carnegiehall.org/events/27000","1971-09-24T19:30:00","The Beach Boys","http://data.carnegiehall.org/works/109673","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109673","http://data.carnegiehall.org/names/68948","Brian Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q313013"
"http://data.carnegiehall.org/events/18896","1971-09-14T20:00:00","Savoy Brown, Blues Rock Band","http://data.carnegiehall.org/works/109651","http://data.carnegiehall.org/names/76003","Kim Simmonds","https://sws.geonames.org/2641700/","http://www.wikidata.org/entity/Q322303"
"http://data.carnegiehall.org/events/31673","1971-09-24T23:00:00","The Beach Boys","http://data.carnegiehall.org/works/109668","http://data.carnegiehall.org/names/10103","Carl Wilson","http://sws.geonames.org/5355828/","http://www.wikidata.org/entity/Q504920"
