"composer","skos"
"http://data.carnegiehall.org/names/8886","http://www.wikidata.org/entity/Q727702"
"http://data.carnegiehall.org/names/92308","http://www.wikidata.org/entity/Q3093810"
"http://data.carnegiehall.org/names/82882","http://www.wikidata.org/entity/Q202847"
"http://data.carnegiehall.org/names/76687","http://www.wikidata.org/entity/Q483828"
"http://data.carnegiehall.org/names/31775","http://www.wikidata.org/entity/Q234017"
"http://data.carnegiehall.org/names/101042","http://www.wikidata.org/entity/Q6243748"
"http://data.carnegiehall.org/names/64403","http://www.wikidata.org/entity/Q358350"
"http://data.carnegiehall.org/names/19811","http://www.wikidata.org/entity/Q208205"
"http://data.carnegiehall.org/names/2089","http://www.wikidata.org/entity/Q4799392"
"http://data.carnegiehall.org/names/59139","http://www.wikidata.org/entity/Q1936300"
"http://data.carnegiehall.org/names/89879","http://www.wikidata.org/entity/Q6893076"
"http://data.carnegiehall.org/names/8775","http://www.wikidata.org/entity/Q7819744"
"http://data.carnegiehall.org/names/26138","http://www.wikidata.org/entity/Q466563"
"http://data.carnegiehall.org/names/59543","http://www.wikidata.org/entity/Q1072233"
"http://data.carnegiehall.org/names/64154","http://www.wikidata.org/entity/Q2744274"
"http://data.carnegiehall.org/names/66132","http://www.wikidata.org/entity/Q354033"
"http://data.carnegiehall.org/names/1497","http://www.wikidata.org/entity/Q2548443"
"http://data.carnegiehall.org/names/34246","http://www.wikidata.org/entity/Q3228873"
"http://data.carnegiehall.org/names/40988","http://www.wikidata.org/entity/Q1098159"
"http://data.carnegiehall.org/names/59803","http://www.wikidata.org/entity/Q1095392"
"http://data.carnegiehall.org/names/42307","http://www.wikidata.org/entity/Q1280917"
"http://data.carnegiehall.org/names/57747","http://www.wikidata.org/entity/Q251417"
"http://data.carnegiehall.org/names/17218","http://www.wikidata.org/entity/Q310332"
"http://data.carnegiehall.org/names/10700","http://www.wikidata.org/entity/Q382748"
"http://data.carnegiehall.org/names/124581","http://www.wikidata.org/entity/Q63204"
"http://data.carnegiehall.org/names/66128","http://www.wikidata.org/entity/Q3494868"
"http://data.carnegiehall.org/names/16073","http://www.wikidata.org/entity/Q1067003"
"http://data.carnegiehall.org/names/52359","http://www.wikidata.org/entity/Q354508"
"http://data.carnegiehall.org/names/22809","http://www.wikidata.org/entity/Q113681"
"http://data.carnegiehall.org/names/89503","http://www.wikidata.org/entity/Q704700"
"http://data.carnegiehall.org/names/63461","http://www.wikidata.org/entity/Q108912"
"http://data.carnegiehall.org/names/1428","http://www.wikidata.org/entity/Q1684347"
"http://data.carnegiehall.org/names/47007","http://www.wikidata.org/entity/Q711921"
"http://data.carnegiehall.org/names/26106","http://www.wikidata.org/entity/Q550541"
"http://data.carnegiehall.org/names/10596","http://www.wikidata.org/entity/Q6144295"
"http://data.carnegiehall.org/names/119400","http://www.wikidata.org/entity/Q3378781"
"http://data.carnegiehall.org/names/60379","http://www.wikidata.org/entity/Q693360"
"http://data.carnegiehall.org/names/68760","http://www.wikidata.org/entity/Q1587887"
"http://data.carnegiehall.org/names/2289","http://www.wikidata.org/entity/Q502311"
"http://data.carnegiehall.org/names/44338","http://www.wikidata.org/entity/Q7945879"
"http://data.carnegiehall.org/names/43592","http://www.wikidata.org/entity/Q316920"
"http://data.carnegiehall.org/names/14654","http://www.wikidata.org/entity/Q346762"
"http://data.carnegiehall.org/names/49909","http://www.wikidata.org/entity/Q1399605"
"http://data.carnegiehall.org/names/8625","http://www.wikidata.org/entity/Q703370"
"http://data.carnegiehall.org/names/56624","http://www.wikidata.org/entity/Q10274029"
"http://data.carnegiehall.org/names/50403","http://www.wikidata.org/entity/Q888666"
"http://data.carnegiehall.org/names/61291","http://www.wikidata.org/entity/Q5370358"
"http://data.carnegiehall.org/names/14509","http://www.wikidata.org/entity/Q4714268"
"http://data.carnegiehall.org/names/33006","http://www.wikidata.org/entity/Q3296151"
"http://data.carnegiehall.org/names/45578","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/names/60728","http://www.wikidata.org/entity/Q13036399"
"http://data.carnegiehall.org/names/119918","http://www.wikidata.org/entity/Q435692"
"http://data.carnegiehall.org/names/51337","http://www.wikidata.org/entity/Q162530"
"http://data.carnegiehall.org/names/25403","http://www.wikidata.org/entity/Q5921"
"http://data.carnegiehall.org/names/21499","http://www.wikidata.org/entity/Q5402944"
"http://data.carnegiehall.org/names/78243","http://www.wikidata.org/entity/Q5539784"
"http://data.carnegiehall.org/names/34823","http://www.wikidata.org/entity/Q123829"
"http://data.carnegiehall.org/names/37456","http://www.wikidata.org/entity/Q6915818"
"http://data.carnegiehall.org/names/29440","http://www.wikidata.org/entity/Q7036608"
"http://data.carnegiehall.org/names/107736","http://www.wikidata.org/entity/Q7422453"
"http://data.carnegiehall.org/names/6389","http://www.wikidata.org/entity/Q5109227"
"http://data.carnegiehall.org/names/19986","http://www.wikidata.org/entity/Q5387115"
"http://data.carnegiehall.org/names/28897","http://www.wikidata.org/entity/Q505370"
"http://data.carnegiehall.org/names/57125","http://www.wikidata.org/entity/Q1354646"
"http://data.carnegiehall.org/names/54038","http://www.wikidata.org/entity/Q448896"
"http://data.carnegiehall.org/names/32756","http://www.wikidata.org/entity/Q2638863"
"http://data.carnegiehall.org/names/39294","http://www.wikidata.org/entity/Q317033"
"http://data.carnegiehall.org/names/15809","http://www.wikidata.org/entity/Q712383"
"http://data.carnegiehall.org/names/65769","http://www.wikidata.org/entity/Q1239500"
"http://data.carnegiehall.org/names/14203","http://www.wikidata.org/entity/Q1346706"
"http://data.carnegiehall.org/names/64306","http://www.wikidata.org/entity/Q1164670"
"http://data.carnegiehall.org/names/67460","http://www.wikidata.org/entity/Q3036"
"http://data.carnegiehall.org/names/27660","http://www.wikidata.org/entity/Q553921"
"http://data.carnegiehall.org/names/12961","http://www.wikidata.org/entity/Q552067"
"http://data.carnegiehall.org/names/59350","http://www.wikidata.org/entity/Q1818079"
"http://data.carnegiehall.org/names/34018","http://www.wikidata.org/entity/Q315780"
"http://data.carnegiehall.org/names/5119","http://www.wikidata.org/entity/Q1375067"
"http://data.carnegiehall.org/names/7963","http://www.wikidata.org/entity/Q4979394"
"http://data.carnegiehall.org/names/65434","http://www.wikidata.org/entity/Q1287983"
"http://data.carnegiehall.org/names/1343","http://www.wikidata.org/entity/Q219551"
