"s","genreLabel"
"http://data.carnegiehall.org/genres/34","jazz"
"http://data.carnegiehall.org/genres/114","world music"
"http://data.carnegiehall.org/genres/32","dance"
"http://data.carnegiehall.org/genres/35","pop music"
"http://data.carnegiehall.org/genres/266","rhythm and blues"
"http://data.carnegiehall.org/genres/267","soul music"
"http://data.carnegiehall.org/genres/6","theater"
"http://data.carnegiehall.org/genres/9","comedy"
"http://data.carnegiehall.org/genres/33","opera"
"http://data.carnegiehall.org/genres/15","cabaret"
"http://data.carnegiehall.org/genres/39","rock music"
"http://data.carnegiehall.org/genres/40","folk music"
"http://data.carnegiehall.org/genres/5","politics"
"http://data.carnegiehall.org/genres/7","gospel music"
"http://data.carnegiehall.org/genres/11","country music"
"http://data.carnegiehall.org/genres/467","bossa nova"
"http://data.carnegiehall.org/genres/549","jazz fusion"
"http://data.carnegiehall.org/genres/138","blues"
"http://data.carnegiehall.org/genres/449","Gaelic music"
"http://data.carnegiehall.org/genres/550","country rock music"
"http://data.carnegiehall.org/genres/51","bluegrass"
"http://data.carnegiehall.org/genres/31","musical theater"
"http://data.carnegiehall.org/genres/322","calypso music"
"http://data.carnegiehall.org/genres/443","new age music"
"http://data.carnegiehall.org/genres/262","spoken word"
"http://data.carnegiehall.org/genres/451","Afro-Cuban jazz"
"http://data.carnegiehall.org/genres/452","rumba music"
"http://data.carnegiehall.org/genres/453","Latin jazz"
"http://data.carnegiehall.org/genres/335","funk"
"http://data.carnegiehall.org/genres/350","flamenco music"
"http://data.carnegiehall.org/genres/242","hip-hop"
"http://data.carnegiehall.org/genres/426","disco music"
"http://data.carnegiehall.org/genres/441","salsa music"
"http://data.carnegiehall.org/genres/450","mambo music"
"http://data.carnegiehall.org/genres/448","rap"
"http://data.carnegiehall.org/genres/529","fado"
"http://data.carnegiehall.org/genres/455","mbalax"
"http://data.carnegiehall.org/genres/557","vaudeville"
"http://data.carnegiehall.org/genres/407","afrobeat"
"http://data.carnegiehall.org/genres/461","klezmer music"
"http://data.carnegiehall.org/genres/539","mariachi music"
"http://data.carnegiehall.org/genres/576","actual play"
"http://data.carnegiehall.org/genres/444","merengue music"
"http://data.carnegiehall.org/genres/558","techno"
"http://data.carnegiehall.org/genres/440","cajun music"
"http://data.carnegiehall.org/genres/464","champeta criolla music"
"http://data.carnegiehall.org/genres/465","son music"
"http://data.carnegiehall.org/genres/535","kwaito"
"http://data.carnegiehall.org/genres/536","reggae"
"http://data.carnegiehall.org/genres/544","capoeira music"
"http://data.carnegiehall.org/genres/545","candomblé music"
"http://data.carnegiehall.org/genres/546","samba de roda"
"http://data.carnegiehall.org/genres/559","bomba"
"http://data.carnegiehall.org/genres/560","plena"
"http://data.carnegiehall.org/genres/568","compas music"
"http://data.carnegiehall.org/genres/569","champeta music"
