"composer","skos"
"http://data.carnegiehall.org/names/1000126","http://www.wikidata.org/entity/Q230978"
"http://data.carnegiehall.org/names/1003781","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/names/1003166","http://www.wikidata.org/entity/Q1339"
"http://data.carnegiehall.org/names/22028","http://www.wikidata.org/entity/Q289468"
"http://data.carnegiehall.org/names/109760","http://www.wikidata.org/entity/Q542484"
"http://data.carnegiehall.org/names/1009368","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/names/37390","http://www.wikidata.org/entity/Q6826426"
"http://data.carnegiehall.org/names/5224","http://www.wikidata.org/entity/Q1362743"
"http://data.carnegiehall.org/names/18524","http://www.wikidata.org/entity/Q1203"
"http://data.carnegiehall.org/names/1001205","http://www.wikidata.org/entity/Q41309"
"http://data.carnegiehall.org/names/1003225","http://www.wikidata.org/entity/Q379560"
"http://data.carnegiehall.org/names/1008384","http://www.wikidata.org/entity/Q130759"
"http://data.carnegiehall.org/names/1003037","http://www.wikidata.org/entity/Q48173"
"http://data.carnegiehall.org/names/1010036","http://www.wikidata.org/entity/Q212024"
"http://data.carnegiehall.org/names/95197","http://www.wikidata.org/entity/Q44857"
"http://data.carnegiehall.org/names/41588","http://www.wikidata.org/entity/Q150445"
"http://data.carnegiehall.org/names/1005833","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/names/59267","http://www.wikidata.org/entity/Q104347246"
"http://data.carnegiehall.org/names/1004603","http://www.wikidata.org/entity/Q7311"
"http://data.carnegiehall.org/names/1006720","http://www.wikidata.org/entity/Q938810"
"http://data.carnegiehall.org/names/1003411","http://www.wikidata.org/entity/Q184933"
"http://data.carnegiehall.org/names/1001924","http://www.wikidata.org/entity/Q15218048"
"http://data.carnegiehall.org/names/1009300","http://www.wikidata.org/entity/Q25872"
"http://data.carnegiehall.org/names/1003488","http://www.wikidata.org/entity/Q436693"
"http://data.carnegiehall.org/names/1004515","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/names/1007172","http://www.wikidata.org/entity/Q11857054"
"http://data.carnegiehall.org/names/1009204","http://www.wikidata.org/entity/Q561259"
"http://data.carnegiehall.org/names/1000444","http://www.wikidata.org/entity/Q215982"
"http://data.carnegiehall.org/names/1016758","http://www.wikidata.org/entity/Q76938"
"http://data.carnegiehall.org/names/1002870","http://www.wikidata.org/entity/Q183087"
